theta_list	s_list	b_list
0.9	4467.64722879594	85581.03853308217
0.9222222222222223	4555.726570391903	88511.242198747
0.9444444444444445	4639.241638025559	91363.03436434167
0.9666666666666667	4719.849307424595	94064.82192110652
0.9888888888888889	4796.342808605538	96539.89796679896
1.011111111111111	4837.772748950489	97960.39615647553
1.0333333333333334	4846.329202990614	98348.47626189516
1.0555555555555556	4854.895400676569	98679.16824045188
1.077777777777778	4863.995591743686	99107.59049445833
1.1	4873.6306613309225	99566.12731008593
